Poll,From,To,Trump,Carson,Rubio,Cruz,Bush,Fiorina,Huckabee,Christie,Kasich,Paul,Graham,Pataki,Santorum,Difference
RCP Average,16-Nov,30-Nov,28.3,18.8,13.8,13,5.3,3.5,2.8,2.5,2.5,2.3,0.5,0.5,0.3,9.5
Quinnipiac,23-Nov,30-Nov,27,16,17,16,5,3,1,2,2,2,0,0,0,10
FOX News,16-Nov,19-Nov,28,18,14,14,5,3,3,3,2,2,0,1,0,10
ABC/Wash Post,16-Nov,19-Nov,32,22,11,8,6,4,3,2,3,3,1,0,1,10
PPP (D),16-Nov,17-Nov,26,19,13,14,5,4,4,3,3,2,1,1,0,7
Bloomberg,15-Nov,17-Nov,24,20,12,9,6,3,3,4,3,3,1,1,1,4
FOX News,1-Nov,3-Nov,26,23,11,11,4,3,4,2,4,4,0,0,0,3
McClatchy/Marist,29-Oct,4-Nov,23,24,12,8,8,3,3,2,4,5,0,1,1,1
Quinnipiac,29-Oct,2-Nov,24,23,14,13,4,3,1,3,3,2,0,0,1,1
NBC/WSJ,25-Oct,29-Oct,23,29,11,10,8,3,3,3,3,2,0,0,0,6
IBD/TIPP,24-Oct,29-Oct,28,23,11,6,6,3,1,1,1,2,0,0,1,5
CBS/NY Times,21-Oct,25-Oct,22,26,8,4,7,7,4,1,4,4,2,0,1,4
NBC/WSJ,15-Oct,18-Oct,25,22,13,9,8,7,3,1,3,2,0,0,0,3
Monmouth,15-Oct,18-Oct,28,18,6,10,5,6,4,3,1,4,1,0,0,10
ABC/Wash Post,15-Oct,18-Oct,32,22,10,6,7,5,3,3,2,2,1,1,0,10
CNN/ORC,14-Oct,17-Oct,27,22,8,4,8,4,5,4,3,5,1,0,2,5
FOX News,10-Oct,12-Oct,24,23,9,10,8,5,5,1,1,3,0,1,0,1
CBS News,4-Oct,8-Oct,27,21,8,9,6,6,2,3,2,4,0,0,1,6
PPP (D),1-Oct,4-Oct,27,17,13,7,10,6,4,2,4,2,1,1,2,10
IBD/TIPP,26-Sep,1-Oct,17,24,11,6,8,9,2,2,4,3,0,0,0,7
USAT/Suffolk,24-Sep,28-Sep,23,13,9,6,8,13,2,1,2,2,1,0,0,10
Pew Research*,22-Sep,27-Sep,25,16,8,6,4,8,2,1,1,2,1,0,0,9
NBC/WSJ,20-Sep,24-Sep,21,20,11,5,7,11,2,3,6,3,0,0,1,1
FOX News,20-Sep,22-Sep,26,18,9,8,7,9,3,5,4,2,0,1,0,8
Bloomberg,18-Sep,21-Sep,21,16,8,5,13,11,3,4,4,2,0,0,1,5
Quinnipiac,17-Sep,21-Sep,25,17,9,7,10,12,2,2,2,1,0,1,0,8
CNN/ORC,17-Sep,19-Sep,24,14,11,6,9,15,6,3,2,4,0,0,1,9
CBS/NY Times,9-Sep,13-Sep,27,23,6,5,6,4,6,1,3,3,0,0,1,4
ABC/Wash Post,7-Sep,10-Sep,33,20,7,7,8,2,3,1,3,5,0,0,1,13
CNN/ORC,4-Sep,8-Sep,32,19,3,7,9,3,5,2,2,3,1,0,1,13
Monmouth,31-Aug,2-Sep,30,18,5,8,8,4,4,2,2,2,0,0,0,12
PPP (D),28-Aug,30-Aug,29,15,7,6,9,8,5,2,6,1,0,0,2,14
Quinnipiac,20-Aug,25-Aug,28,12,7,7,7,5,3,4,5,2,0,0,1,16
CNN/ORC,13-Aug,16-Aug,24,9,8,5,13,5,4,3,5,6,0,0,1,11
FOX News,11-Aug,13-Aug,25,12,4,10,9,5,6,3,4,3,0,1,1,13
Rasmussen,9-Aug,10-Aug,17,8,10,7,10,9,3,4,4,4,1,0,1,7
FOX News,30-Jul,2-Aug,26,7,5,6,15,2,6,3,3,5,0,0,2,11
Monmouth,30-Jul,2-Aug,26,5,4,6,12,2,6,4,3,4,1,0,1,14
Bloomberg,30-Jul,2-Aug,21,5,6,4,10,1,7,4,4,5,1,0,2,11
CBS News,29-Jul,2-Aug,24,6,6,6,13,0,8,3,1,4,0,1,1,11
NBC/WSJ,26-Jul,30-Jul,19,10,5,9,14,0,6,3,3,6,0,0,1,4
Quinnipiac,23-Jul,28-Jul,20,6,6,5,10,1,6,3,5,6,1,1,1,7
Rasmussen,26-Jul,27-Jul,26,5,5,7,10,1,7,2,5,3,1,1,2,12
CNN/ORC,22-Jul,25-Jul,18,4,6,7,15,1,5,4,4,6,1,1,2,3
PPP (D),20-Jul,21-Jul,19,10,10,4,12,4,8,3,3,4,0,0,1,2
ABC/Wash Post,16-Jul,19-Jul,24,6,7,4,12,0,8,3,2,6,0,1,1,11
FOX News,13-Jul,15-Jul,18,6,7,4,14,1,4,3,2,8,0,0,2,3
USAT/Suffolk,9-Jul,12-Jul,17,4,5,6,14,1,4,3,1,4,0,0,1,3
Monmouth,9-Jul,12-Jul,13,6,6,9,15,1,7,2,1,6,0,0,2,2
CNN/ORC,26-Jun,28-Jun,12,7,6,3,19,1,8,3,2,7,1,0,3,7
FOX News,21-Jun,23-Jun,11,10,8,4,15,3,6,2,2,9,1,1,3,4
NBC/WSJ,14-Jun,18-Jun,1,11,14,4,22,2,9,4,1,7,1,0,0,5
Monmouth,11-Jun,14-Jun,2,11,9,5,9,2,8,4,1,6,2,0,3,1
FOX News,31-May,2-Jun,4,11,7,8,12,2,6,5,2,9,2,2,2,
CNN/ORC,29-May,31-May,3,7,14,8,13,1,10,4,1,8,1,3,2,1
ABC/Wash Post,28-May,31-May,4,8,10,8,10,2,9,6,3,11,1,1,4,
Quinnipiac,19-May,26-May,5,10,10,6,10,2,10,4,2,7,1,0,0,
FOX News,9-May,12-May,4,13,9,6,13,1,10,6,2,7,0,0,2,
PPP (D),7-May,10-May,0,12,13,10,11,0,12,5,0,9,0,0,0,5
NBC/WSJ,26-Apr,30-Apr,0,7,18,11,23,1,5,5,0,11,0,0,0,5
FOX News,19-Apr,21-Apr,5,6,13,8,9,0,9,6,2,10,1,1,1,1
Quinnipiac,16-Apr,21-Apr,0,3,15,9,13,1,7,7,2,8,2,0,2,2
CNN/ORC,16-Apr,19-Apr,0,4,11,7,17,2,9,4,2,11,2,0,3,5
FOX News,29-Mar,31-Mar,3,11,8,10,12,1,10,4,1,9,0,1,2,3
ABC/Wash Post,26-Mar,29-Mar,0,6,8,12,21,1,8,7,1,8,1,0,2,8
PPP (D),26-Mar,31-Mar,0,10,6,16,17,0,6,4,0,10,0,0,0,3
CNN/ORC,13-Mar,15-Mar,0,9,7,4,16,0,10,7,2,12,1,0,1,3
McClatchy/Marist,1-Mar,4-Mar,0,9,5,4,19,2,10,6,0,7,1,0,2,1
Quinnipiac,26-Feb,2-Mar,0,7,5,6,16,0,8,8,1,6,1,0,2,2
PPP (D),20-Feb,22-Feb,0,18,3,5,17,0,10,5,0,4,0,0,0,7
CNN/ORC,12-Feb,15-Feb,0,9,6,3,12,1,17,7,2,11,1,0,2,5
FOX News,25-Jan,27-Jan,0,10,5,4,15,0,13,6,2,13,1,0,2,2
CNN/ORC,18-Dec,21-Dec,0,7,5,4,23,0,6,13,3,6,0,0,2,10
ABC/Wash Post,11-Dec,14-Dec,0,8,7,8,14,0,7,7,2,10,0,0,3,4
McClatchy/Marist,3-Dec,9-Dec,0,8,3,5,16,1,12,10,3,6,0,0,3,4
CNN/ORC,21-Nov,23-Nov,0,11,3,7,14,0,10,9,3,8,0,0,2,3
Quinnipiac,18-Nov,23-Nov,0,9,3,5,14,0,7,11,2,8,0,0,2,3
Rasmussen,20-Nov,21-Nov,0,0,0,0,18,0,0,15,0,13,0,0,0,2
ABC/Wash Post,9-Oct,12-Oct,0,7,8,4,13,0,12,8,2,12,0,0,4,1
McClatchy/Marist,24-Sep,29-Sep,0,0,6,4,15,0,0,12,0,13,0,0,3,2
McClatchy/Marist,4-Aug,4-Aug,0,0,9,10,13,0,0,13,0,7,0,0,3,
FOX News,20-Jul,22-Jul,0,0,9,9,12,0,0,10,2,11,0,0,3,
CNN/ORC,18-Jul,20-Jul,0,0,6,8,8,0,12,13,0,12,0,0,3,1
Quinnipiac,24-Jun,30-Jun,0,0,6,8,10,0,10,10,2,11,0,0,2,1
CNN/ORC,29-May,1-Jun,0,0,8,9,12,0,11,8,0,14,0,0,4,2
CNN/ORC,2-May,4-May,0,0,6,7,13,0,10,9,0,13,0,0,2,
ABC/Wash Post,24-Apr,27-Apr,0,0,6,7,12,0,14,9,1,15,0,0,0,1
FOX News,13-Apr,15-Apr,0,0,8,7,14,0,0,15,0,14,0,0,5,1
McClatchy/Marist,7-Apr,10-Apr,0,0,7,4,13,0,13,12,0,12,0,0,3,
Reason-Rupe,26-Mar,30-Mar,0,0,6,6,11,0,15,10,0,11,0,0,0,4
WPA (R),18-Mar,20-Mar,0,0,6,9,11,0,13,9,0,13,0,0,3,
CNN/ORC,7-Mar,9-Mar,0,0,5,8,9,0,10,8,0,16,0,0,3,5
PPP (D),6-Mar,9-Mar,0,0,6,11,15,0,18,14,0,14,0,0,0,3
McClatchy/Marist,4-Feb,9-Feb,0,0,12,5,8,0,13,13,1,9,0,0,2,
CNN/ORC,31-Jan,2-Feb,0,0,10,10,9,0,16,12,0,14,0,0,5,2
PPP (D),23-Jan,26-Jan,0,0,8,8,14,0,16,13,0,11,0,0,0,2
ABC/Wash Post,20-Jan,23-Jan,0,0,10,12,18,0,0,14,0,11,0,0,0,4
Quinnipiac,15-Jan,19-Jan,0,0,8,9,11,0,0,12,2,13,0,0,0,1
NBC/Marist,12-Jan,14-Jan,0,0,7,5,8,0,0,16,0,9,0,0,5,7
FOX News,14-Dec,16-Dec,0,0,8,12,12,0,0,16,0,11,0,0,3,4
PPP (D),12-Dec,15-Dec,0,0,7,14,10,0,13,19,0,11,0,0,0,5
Quinnipiac,3-Dec,9-Dec,0,0,7,13,11,0,0,17,2,14,0,0,0,3
McClatchy/Marist,3-Dec,5-Dec,0,0,7,10,10,0,0,18,0,12,0,0,4,6
CNN/ORC,18-Nov,20-Nov,0,0,10,11,5,0,0,24,0,15,0,0,6,9
Rasmussen,7-Nov,8-Nov,0,0,16,12,12,0,0,22,0,20,0,0,0,2
PPP (D),29-Oct,31-Oct,0,0,10,15,14,0,0,16,0,16,0,0,5,
Quinnipiac,23-Sep,29-Sep,0,0,12,10,11,0,0,13,0,17,0,0,0,4
PPP (D),25-Sep,26-Sep,0,0,10,20,11,0,0,14,0,17,0,0,3,3
CNN/ORC,6-Sep,8-Sep,0,0,9,7,10,0,0,17,0,13,0,0,5,4
Rasmussen,1-Aug,2-Aug,0,0,18,0,16,0,0,21,0,15,0,0,0,3
PPP (D),19-Jul,21-Jul,0,0,10,12,13,0,0,13,0,16,0,0,4,3
McClatchy/Marist,15-Jul,18-Jul,0,0,12,7,10,0,0,15,0,9,0,0,2,3
PPP (D),6-May,9-May,0,0,16,7,15,0,0,15,0,14,0,0,5,1
Quinnipiac,26-Mar,1-Apr,0,0,19,0,10,0,0,14,0,15,0,0,0,4
PPP (D),27-Mar,30-Mar,0,0,21,0,12,0,0,15,0,17,0,0,5,4
PPP (D),31-Jan,3-Feb,0,0,22,0,13,0,11,13,0,10,0,0,0,9
PPP (D),3-Jan,6-Jan,0,0,21,0,14,0,15,14,0,5,0,0,0,6
PPP (D),30-Nov,2-Dec,0,0,18,0,12,0,11,14,0,7,0,0,4,4
